Verb,Tense,Person,Covered,Form Key
hitz-egin,present,zuek,YES,hitz-egin-present-zuek
hitz-egin,present,haiek,YES,hitz-egin-present-haiek
ibili,future,ni,YES,ibili-future-ni
ibili,future,zu,YES,ibili-future-zu
ibili,future,hura,YES,ibili-future-hura
ibili,future,gu,YES,ibili-future-gu
ibili,future,zuek,YES,ibili-future-zuek
ibili,future,haiek,YES,ibili-future-haiek
ibili,imperfectivePast,ni,YES,ibili-imperfectivePast-ni
ibili,imperfectivePast,zu,YES,ibili-imperfectivePast-zu
ibili,imperfectivePast,hura,YES,ibili-imperfectivePast-hura
ibili,imperfectivePast,gu,YES,ibili-imperfectivePast-gu
ibili,imperfectivePast,zuek,YES,ibili-imperfectivePast-zuek
ibili,imperfectivePast,haiek,YES,ibili-imperfectivePast-haiek
ibili,past,ni,YES,ibili-past-ni
ibili,past,hi,YES,ibili-past-hi
ibili,past,zu,YES,ibili-past-zu
ibili,past,hura,YES,ibili-past-hura
ibili,past,gu,YES,ibili-past-gu
ibili,past,zuek,YES,ibili-past-zuek
ibili,past,haiek,YES,ibili-past-haiek
ibili,present,ni,YES,ibili-present-ni
ibili,present,hi,YES,ibili-present-hi
ibili,present,zu,YES,ibili-present-zu
ibili,present,hura,YES,ibili-present-hura
ibili,present,gu,YES,ibili-present-gu
ibili,present,zuek,YES,ibili-present-zuek
ibili,present,haiek,YES,ibili-present-haiek
idatzarazi,future,ni,YES,idatzarazi-future-ni
idatzarazi,future,zu,YES,idatzarazi-future-zu
idatzarazi,future,hura,YES,idatzarazi-future-hura
idatzarazi,future,gu,YES,idatzarazi-future-gu
idatzarazi,future,zuek,YES,idatzarazi-future-zuek
idatzarazi,future,haiek,YES,idatzarazi-future-haiek
idatzarazi,past,ni,YES,idatzarazi-past-ni
idatzarazi,past,zu,YES,idatzarazi-past-zu
idatzarazi,past,hura,YES,idatzarazi-past-hura
idatzarazi,past,gu,YES,idatzarazi-past-gu
idatzarazi,past,zuek,YES,idatzarazi-past-zuek
idatzarazi,past,haiek,YES,idatzarazi-past-haiek
idatzarazi,present,ni,YES,idatzarazi-present-ni
idatzarazi,present,zu,YES,idatzarazi-present-zu
idatzarazi,present,hura,YES,idatzarazi-present-hura
idatzarazi,present,gu,YES,idatzarazi-present-gu
idatzarazi,present,zuek,YES,idatzarazi-present-zuek
idatzarazi,present,haiek,YES,idatzarazi-present-haiek
idatzi,future,ni,YES,idatzi-future-ni
idatzi,future,zu,YES,idatzi-future-zu
idatzi,future,hura,YES,idatzi-future-hura
idatzi,future,gu,YES,idatzi-future-gu
idatzi,future,zuek,YES,idatzi-future-zuek
idatzi,future,haiek,YES,idatzi-future-haiek
idatzi,futurePlural,ni,YES,idatzi-futurePlural-ni
idatzi,futurePlural,zu,YES,idatzi-futurePlural-zu
idatzi,futurePlural,hura,YES,idatzi-futurePlural-hura
idatzi,futurePlural,gu,YES,idatzi-futurePlural-gu
idatzi,futurePlural,zuek,YES,idatzi-futurePlural-zuek
idatzi,futurePlural,haiek,YES,idatzi-futurePlural-haiek
idatzi,past,ni,YES,idatzi-past-ni
idatzi,past,zu,YES,idatzi-past-zu
idatzi,past,hura,YES,idatzi-past-hura
idatzi,past,gu,YES,idatzi-past-gu
idatzi,past,zuek,YES,idatzi-past-zuek
idatzi,past,haiek,YES,idatzi-past-haiek
idatzi,pastPlural,ni,YES,idatzi-pastPlural-ni
idatzi,pastPlural,zu,YES,idatzi-pastPlural-zu
idatzi,pastPlural,hura,YES,idatzi-pastPlural-hura
idatzi,pastPlural,gu,YES,idatzi-pastPlural-gu
idatzi,pastPlural,zuek,YES,idatzi-pastPlural-zuek
idatzi,pastPlural,haiek,YES,idatzi-pastPlural-haiek
idatzi,present,ni,YES,idatzi-present-ni
idatzi,present,zu,YES,idatzi-present-zu
idatzi,present,hura,YES,idatzi-present-hura
idatzi,present,gu,YES,idatzi-present-gu
idatzi,present,zuek,YES,idatzi-present-zuek
idatzi,present,haiek,YES,idatzi-present-haiek
idatzi,presentPlural,ni,YES,idatzi-presentPlural-ni
idatzi,presentPlural,zu,YES,idatzi-presentPlural-zu
idatzi,presentPlural,hura,YES,idatzi-presentPlural-hura
idatzi,presentPlural,gu,YES,idatzi-presentPlural-gu
idatzi,presentPlural,zuek,YES,idatzi-presentPlural-zuek
idatzi,presentPlural,haiek,YES,idatzi-presentPlural-haiek
ikasi,future,ni,YES,ikasi-future-ni
ikasi,future,zu,YES,ikasi-future-zu
ikasi,future,hura,YES,ikasi-future-hura
ikasi,future,gu,YES,ikasi-future-gu
ikasi,future,zuek,YES,ikasi-future-zuek
ikasi,future,haiek,YES,ikasi-future-haiek
ikasi,futurePlural,ni,YES,ikasi-futurePlural-ni
ikasi,futurePlural,zu,YES,ikasi-futurePlural-zu
ikasi,futurePlural,hura,YES,ikasi-futurePlural-hura
ikasi,futurePlural,gu,YES,ikasi-futurePlural-gu
ikasi,futurePlural,zuek,YES,ikasi-futurePlural-zuek
ikasi,futurePlural,haiek,YES,ikasi-futurePlural-haiek
ikasi,past,ni,YES,ikasi-past-ni
ikasi,past,zu,YES,ikasi-past-zu
ikasi,past,hura,YES,ikasi-past-hura
ikasi,past,gu,YES,ikasi-past-gu
ikasi,past,zuek,YES,ikasi-past-zuek
ikasi,past,haiek,YES,ikasi-past-haiek
ikasi,pastPlural,ni,YES,ikasi-pastPlural-ni
ikasi,pastPlural,zu,YES,ikasi-pastPlural-zu
ikasi,pastPlural,hura,YES,ikasi-pastPlural-hura
ikasi,pastPlural,gu,YES,ikasi-pastPlural-gu
ikasi,pastPlural,zuek,YES,ikasi-pastPlural-zuek
ikasi,pastPlural,haiek,YES,ikasi-pastPlural-haiek
ikasi,present,ni,YES,ikasi-present-ni
ikasi,present,zu,YES,ikasi-present-zu
ikasi,present,hura,YES,ikasi-present-hura
ikasi,present,gu,YES,ikasi-present-gu
ikasi,present,zuek,YES,ikasi-present-zuek
ikasi,present,haiek,YES,ikasi-present-haiek
ikasi,presentPlural,ni,YES,ikasi-presentPlural-ni
ikasi,presentPlural,zu,YES,ikasi-presentPlural-zu
ikasi,presentPlural,hura,YES,ikasi-presentPlural-hura
ikasi,presentPlural,gu,YES,ikasi-presentPlural-gu
ikasi,presentPlural,zuek,YES,ikasi-presentPlural-zuek
ikasi,presentPlural,haiek,YES,ikasi-presentPlural-haiek
ikusi,future,ni,YES,ikusi-future-ni
ikusi,future,zu,YES,ikusi-future-zu
ikusi,future,hura,YES,ikusi-future-hura
ikusi,future,gu,YES,ikusi-future-gu
ikusi,future,zuek,YES,ikusi-future-zuek
ikusi,future,haiek,YES,ikusi-future-haiek
ikusi,futurePlural,ni,YES,ikusi-futurePlural-ni
ikusi,futurePlural,zu,YES,ikusi-futurePlural-zu
ikusi,futurePlural,hura,YES,ikusi-futurePlural-hura
ikusi,futurePlural,gu,YES,ikusi-futurePlural-gu
ikusi,futurePlural,zuek,YES,ikusi-futurePlural-zuek
ikusi,futurePlural,haiek,YES,ikusi-futurePlural-haiek
ikusi,habitualPast,ni,YES,ikusi-habitualPast-ni
ikusi,habitualPast,zu,YES,ikusi-habitualPast-zu
ikusi,habitualPast,hura,YES,ikusi-habitualPast-hura
ikusi,habitualPast,gu,YES,ikusi-habitualPast-gu
ikusi,habitualPast,zuek,YES,ikusi-habitualPast-zuek
ikusi,habitualPast,haiek,YES,ikusi-habitualPast-haiek
ikusi,past,ni,YES,ikusi-past-ni
ikusi,past,zu,YES,ikusi-past-zu
ikusi,past,hura,YES,ikusi-past-hura
ikusi,past,gu,YES,ikusi-past-gu
ikusi,past,zuek,YES,ikusi-past-zuek
ikusi,past,haiek,YES,ikusi-past-haiek
ikusi,pastPlural,ni,YES,ikusi-pastPlural-ni
ikusi,pastPlural,zu,YES,ikusi-pastPlural-zu
ikusi,pastPlural,hura,YES,ikusi-pastPlural-hura
ikusi,pastPlural,gu,YES,ikusi-pastPlural-gu
ikusi,pastPlural,zuek,YES,ikusi-pastPlural-zuek
ikusi,pastPlural,haiek,YES,ikusi-pastPlural-haiek
ikusi,present,ni,YES,ikusi-present-ni
ikusi,present,zu,YES,ikusi-present-zu
ikusi,present,hura,YES,ikusi-present-hura
ikusi,present,gu,YES,ikusi-present-gu
ikusi,present,zuek,YES,ikusi-present-zuek
ikusi,present,haiek,YES,ikusi-present-haiek
ikusi,presentPerfect,ni,YES,ikusi-presentPerfect-ni
ikusi,presentPerfect,zu,YES,ikusi-presentPerfect-zu
ikusi,presentPerfect,hura,YES,ikusi-presentPerfect-hura
ikusi,presentPerfect,gu,YES,ikusi-presentPerfect-gu
ikusi,presentPerfect,zuek,YES,ikusi-presentPerfect-zuek
ikusi,presentPerfect,haiek,YES,ikusi-presentPerfect-haiek
ikusi,presentPlural,ni,YES,ikusi-presentPlural-ni
ikusi,presentPlural,zu,YES,ikusi-presentPlural-zu
ikusi,presentPlural,hura,YES,ikusi-presentPlural-hura
ikusi,presentPlural,gu,YES,ikusi-presentPlural-gu
ikusi,presentPlural,zuek,YES,ikusi-presentPlural-zuek
ikusi,presentPlural,haiek,YES,ikusi-presentPlural-haiek
irakurri,future,ni,YES,irakurri-future-ni
irakurri,future,zu,YES,irakurri-future-zu
irakurri,future,hura,YES,irakurri-future-hura
irakurri,future,gu,YES,irakurri-future-gu
irakurri,future,zuek,YES,irakurri-future-zuek
irakurri,future,haiek,YES,irakurri-future-haiek
irakurri,futurePlural,ni,YES,irakurri-futurePlural-ni
irakurri,futurePlural,zu,YES,irakurri-futurePlural-zu
irakurri,futurePlural,hura,YES,irakurri-futurePlural-hura
irakurri,futurePlural,gu,YES,irakurri-futurePlural-gu
irakurri,futurePlural,zuek,YES,irakurri-futurePlural-zuek
irakurri,futurePlural,haiek,YES,irakurri-futurePlural-haiek
irakurri,past,ni,YES,irakurri-past-ni
irakurri,past,zu,YES,irakurri-past-zu
irakurri,past,hura,YES,irakurri-past-hura
irakurri,past,gu,YES,irakurri-past-gu
irakurri,past,zuek,YES,irakurri-past-zuek
irakurri,past,haiek,YES,irakurri-past-haiek
irakurri,pastPlural,ni,YES,irakurri-pastPlural-ni
irakurri,pastPlural,zu,YES,irakurri-pastPlural-zu
irakurri,pastPlural,hura,YES,irakurri-pastPlural-hura
irakurri,pastPlural,gu,YES,irakurri-pastPlural-gu
irakurri,pastPlural,zuek,YES,irakurri-pastPlural-zuek
irakurri,pastPlural,haiek,YES,irakurri-pastPlural-haiek
irakurri,present,ni,YES,irakurri-present-ni
irakurri,present,zu,YES,irakurri-present-zu
irakurri,present,hura,YES,irakurri-present-hura
irakurri,present,gu,YES,irakurri-present-gu
irakurri,present,zuek,YES,irakurri-present-zuek
irakurri,present,haiek,YES,irakurri-present-haiek
irakurri,presentPlural,ni,YES,irakurri-presentPlural-ni
irakurri,presentPlural,zu,YES,irakurri-presentPlural-zu
irakurri,presentPlural,hura,YES,irakurri-presentPlural-hura
irakurri,presentPlural,gu,YES,irakurri-presentPlural-gu
irakurri,presentPlural,zuek,YES,irakurri-presentPlural-zuek
irakurri,presentPlural,haiek,YES,irakurri-presentPlural-haiek
iruditu,baldintzaByNor,ni,YES,iruditu-baldintzaByNor-ni
iruditu,baldintzaByNor,zu,YES,iruditu-baldintzaByNor-zu
iruditu,baldintzaByNor,hura,NO,iruditu-baldintzaByNor-hura
iruditu,baldintzaByNor,gu,YES,iruditu-baldintzaByNor-gu
iruditu,baldintzaByNor,zuek,YES,iruditu-baldintzaByNor-zuek
iruditu,baldintzaByNor,haiek,NO,iruditu-baldintzaByNor-haiek
iruditu,conditionalByNor,ni,YES,iruditu-conditionalByNor-ni
iruditu,conditionalByNor,zu,YES,iruditu-conditionalByNor-zu
iruditu,conditionalByNor,hura,NO,iruditu-conditionalByNor-hura
iruditu,conditionalByNor,gu,YES,iruditu-conditionalByNor-gu
iruditu,conditionalByNor,zuek,YES,iruditu-conditionalByNor-zuek
iruditu,conditionalByNor,haiek,NO,iruditu-conditionalByNor-haiek
iruditu,conditionalPastByNor,ni,YES,iruditu-conditionalPastByNor-ni
iruditu,conditionalPastByNor,zu,YES,iruditu-conditionalPastByNor-zu
iruditu,conditionalPastByNor,hura,NO,iruditu-conditionalPastByNor-hura
iruditu,conditionalPastByNor,gu,YES,iruditu-conditionalPastByNor-gu
iruditu,conditionalPastByNor,zuek,YES,iruditu-conditionalPastByNor-zuek
iruditu,conditionalPastByNor,haiek,NO,iruditu-conditionalPastByNor-haiek
iruditu,futurePlural,ni,NO,iruditu-futurePlural-ni
iruditu,futurePlural,zu,NO,iruditu-futurePlural-zu
iruditu,futurePlural,hura,NO,iruditu-futurePlural-hura
iruditu,futurePlural,gu,NO,iruditu-futurePlural-gu
iruditu,futurePlural,zuek,NO,iruditu-futurePlural-zuek
iruditu,futurePlural,haiek,NO,iruditu-futurePlural-haiek
iruditu,imperativeByNor,ni,NO,iruditu-imperativeByNor-ni
iruditu,imperativeByNor,zu,YES,iruditu-imperativeByNor-zu
iruditu,imperativeByNor,hura,YES,iruditu-imperativeByNor-hura
iruditu,imperativeByNor,gu,NO,iruditu-imperativeByNor-gu
iruditu,imperativeByNor,zuek,YES,iruditu-imperativeByNor-zuek
iruditu,imperativeByNor,haiek,YES,iruditu-imperativeByNor-haiek
iruditu,pastPlural,ni,NO,iruditu-pastPlural-ni
iruditu,pastPlural,zu,NO,iruditu-pastPlural-zu
iruditu,pastPlural,hura,NO,iruditu-pastPlural-hura
iruditu,pastPlural,gu,NO,iruditu-pastPlural-gu
iruditu,pastPlural,zuek,NO,iruditu-pastPlural-zuek
iruditu,pastPlural,haiek,NO,iruditu-pastPlural-haiek
iruditu,potentialAlegiazkoaByNor,ni,YES,iruditu-potentialAlegiazkoaByNor-ni
iruditu,potentialAlegiazkoaByNor,zu,YES,iruditu-potentialAlegiazkoaByNor-zu
iruditu,potentialAlegiazkoaByNor,hura,NO,iruditu-potentialAlegiazkoaByNor-hura
iruditu,potentialAlegiazkoaByNor,gu,YES,iruditu-potentialAlegiazkoaByNor-gu
iruditu,potentialAlegiazkoaByNor,zuek,YES,iruditu-potentialAlegiazkoaByNor-zuek
iruditu,potentialAlegiazkoaByNor,haiek,NO,iruditu-potentialAlegiazkoaByNor-haiek
iruditu,potentialByNor,ni,YES,iruditu-potentialByNor-ni
iruditu,potentialByNor,zu,YES,iruditu-potentialByNor-zu
iruditu,potentialByNor,hura,NO,iruditu-potentialByNor-hura
iruditu,potentialByNor,gu,YES,iruditu-potentialByNor-gu
iruditu,potentialByNor,zuek,YES,iruditu-potentialByNor-zuek
iruditu,potentialByNor,haiek,NO,iruditu-potentialByNor-haiek
iruditu,potentialLehenaldiaByNor,ni,YES,iruditu-potentialLehenaldiaByNor-ni
iruditu,potentialLehenaldiaByNor,zu,YES,iruditu-potentialLehenaldiaByNor-zu
iruditu,potentialLehenaldiaByNor,hura,NO,iruditu-potentialLehenaldiaByNor-hura
iruditu,potentialLehenaldiaByNor,gu,YES,iruditu-potentialLehenaldiaByNor-gu
iruditu,potentialLehenaldiaByNor,zuek,YES,iruditu-potentialLehenaldiaByNor-zuek
iruditu,potentialLehenaldiaByNor,haiek,NO,iruditu-potentialLehenaldiaByNor-haiek
iruditu,presentPlural,ni,YES,iruditu-presentPlural-ni
iruditu,presentPlural,zu,YES,iruditu-presentPlural-zu
iruditu,presentPlural,hura,YES,iruditu-presentPlural-hura
iruditu,presentPlural,gu,YES,iruditu-presentPlural-gu
iruditu,presentPlural,zuek,YES,iruditu-presentPlural-zuek
iruditu,presentPlural,haiek,YES,iruditu-presentPlural-haiek
iruditu,subjunctivePresent,ni,YES,iruditu-subjunctivePresent-ni
iruditu,subjunctivePresent,zu,YES,iruditu-subjunctivePresent-zu
iruditu,subjunctivePresent,hura,YES,iruditu-subjunctivePresent-hura
iruditu,subjunctivePresent,gu,YES,iruditu-subjunctivePresent-gu
iruditu,subjunctivePresent,zuek,YES,iruditu-subjunctivePresent-zuek
iruditu,subjunctivePresent,haiek,YES,iruditu-subjunctivePresent-haiek
itxaron,future,ni,YES,itxaron-future-ni
itxaron,future,zu,YES,itxaron-future-zu
itxaron,future,hura,YES,itxaron-future-hura
itxaron,future,gu,YES,itxaron-future-gu
itxaron,future,zuek,YES,itxaron-future-zuek
itxaron,future,haiek,YES,itxaron-future-haiek
itxaron,past,ni,YES,itxaron-past-ni
itxaron,past,zu,YES,itxaron-past-zu
itxaron,past,hura,YES,itxaron-past-hura
itxaron,past,gu,YES,itxaron-past-gu
itxaron,past,zuek,YES,itxaron-past-zuek
itxaron,past,haiek,YES,itxaron-past-haiek
itxaron,present,ni,YES,itxaron-present-ni
itxaron,present,zu,YES,itxaron-present-zu
itxaron,present,hura,YES,itxaron-present-hura
itxaron,present,gu,YES,itxaron-present-gu
itxaron,present,zuek,YES,itxaron-present-zuek
itxaron,present,haiek,YES,itxaron-present-haiek
itxaron-dative,future,ni,YES,itxaron-dative-future-ni
itxaron-dative,future,zu,YES,itxaron-dative-future-zu
itxaron-dative,future,hura,YES,itxaron-dative-future-hura
itxaron-dative,future,gu,YES,itxaron-dative-future-gu
itxaron-dative,future,zuek,YES,itxaron-dative-future-zuek
itxaron-dative,future,haiek,YES,itxaron-dative-future-haiek
itxaron-dative,past,ni,YES,itxaron-dative-past-ni
itxaron-dative,past,zu,YES,itxaron-dative-past-zu
itxaron-dative,past,hura,YES,itxaron-dative-past-hura
itxaron-dative,past,gu,YES,itxaron-dative-past-gu
itxaron-dative,past,zuek,YES,itxaron-dative-past-zuek
itxaron-dative,past,haiek,YES,itxaron-dative-past-haiek
itxaron-dative,present,ni,YES,itxaron-dative-present-ni
itxaron-dative,present,zu,YES,itxaron-dative-present-zu
itxaron-dative,present,hura,YES,itxaron-dative-present-hura
itxaron-dative,present,gu,YES,itxaron-dative-present-gu
itxaron-dative,present,zuek,YES,itxaron-dative-present-zuek
itxaron-dative,present,haiek,YES,itxaron-dative-present-haiek
itzularazi,future,ni,YES,itzularazi-future-ni
itzularazi,future,zu,YES,itzularazi-future-zu
itzularazi,future,hura,YES,itzularazi-future-hura
itzularazi,future,gu,YES,itzularazi-future-gu
itzularazi,future,zuek,YES,itzularazi-future-zuek
itzularazi,future,haiek,YES,itzularazi-future-haiek
itzularazi,past,ni,YES,itzularazi-past-ni
itzularazi,past,zu,YES,itzularazi-past-zu
itzularazi,past,hura,YES,itzularazi-past-hura
itzularazi,past,gu,YES,itzularazi-past-gu
itzularazi,past,zuek,YES,itzularazi-past-zuek
itzularazi,past,haiek,YES,itzularazi-past-haiek
itzularazi,present,ni,YES,itzularazi-present-ni
itzularazi,present,zu,YES,itzularazi-present-zu
itzularazi,present,hura,YES,itzularazi-present-hura
itzularazi,present,gu,YES,itzularazi-present-gu
itzularazi,present,zuek,YES,itzularazi-present-zuek
itzularazi,present,haiek,YES,itzularazi-present-haiek
izan,baldintza,ni,YES,izan-baldintza-ni
izan,baldintza,hi,YES,izan-baldintza-hi
izan,baldintza,zu,YES,izan-baldintza-zu
izan,baldintza,hura,YES,izan-baldintza-hura
izan,baldintza,gu,YES,izan-baldintza-gu
izan,baldintza,zuek,YES,izan-baldintza-zuek
izan,baldintza,haiek,YES,izan-baldintza-haiek
izan,conditional,ni,YES,izan-conditional-ni
izan,conditional,hi,YES,izan-conditional-hi
izan,conditional,zu,YES,izan-conditional-zu
izan,conditional,hura,YES,izan-conditional-hura
izan,conditional,gu,YES,izan-conditional-gu
izan,conditional,zuek,YES,izan-conditional-zuek
izan,conditional,haiek,YES,izan-conditional-haiek
izan,future,ni,YES,izan-future-ni
izan,future,zu,YES,izan-future-zu
izan,future,hura,YES,izan-future-hura
izan,future,gu,YES,izan-future-gu
izan,future,zuek,YES,izan-future-zuek
izan,future,haiek,YES,izan-future-haiek
izan,imperative,hi,YES,izan-imperative-hi
izan,imperative,zu,YES,izan-imperative-zu
izan,imperative,zuek,YES,izan-imperative-zuek
izan,past,ni,YES,izan-past-ni
izan,past,hi,YES,izan-past-hi
izan,past,zu,YES,izan-past-zu
izan,past,hura,YES,izan-past-hura
izan,past,gu,YES,izan-past-gu
izan,past,zuek,YES,izan-past-zuek
izan,past,haiek,YES,izan-past-haiek
izan,pastNoka,hura,YES,izan-pastNoka-hura
izan,pastNoka,haiek,YES,izan-pastNoka-haiek
izan,pastToka,hura,YES,izan-pastToka-hura
izan,pastToka,haiek,YES,izan-pastToka-haiek
izan,potential,ni,YES,izan-potential-ni
izan,potential,hi,YES,izan-potential-hi
izan,potential,zu,YES,izan-potential-zu
izan,potential,hura,YES,izan-potential-hura
izan,potential,gu,YES,izan-potential-gu
izan,potential,zuek,YES,izan-potential-zuek
izan,potential,haiek,YES,izan-potential-haiek
izan,present,ni,YES,izan-present-ni
izan,present,hi,YES,izan-present-hi
izan,present,zu,YES,izan-present-zu
izan,present,hura,YES,izan-present-hura
izan,present,gu,YES,izan-present-gu
izan,present,zuek,YES,izan-present-zuek
izan,present,haiek,YES,izan-present-haiek
izan,presentNoka,hura,YES,izan-presentNoka-hura
izan,presentNoka,haiek,YES,izan-presentNoka-haiek
izan,presentPerfect,ni,YES,izan-presentPerfect-ni
izan,presentPerfect,hi,NO,izan-presentPerfect-hi
izan,presentPerfect,zu,YES,izan-presentPerfect-zu
izan,presentPerfect,hura,YES,izan-presentPerfect-hura
izan,presentPerfect,gu,YES,izan-presentPerfect-gu
izan,presentPerfect,zuek,YES,izan-presentPerfect-zuek
izan,presentPerfect,haiek,YES,izan-presentPerfect-haiek
izan,presentToka,hura,YES,izan-presentToka-hura
izan,presentToka,haiek,YES,izan-presentToka-haiek
izan,subjunctivePresent,ni,YES,izan-subjunctivePresent-ni
izan,subjunctivePresent,zu,YES,izan-subjunctivePresent-zu
izan,subjunctivePresent,hura,YES,izan-subjunctivePresent-hura
izan,subjunctivePresent,gu,YES,izan-subjunctivePresent-gu
izan,subjunctivePresent,zuek,YES,izan-subjunctivePresent-zuek
izan,subjunctivePresent,haiek,YES,izan-subjunctivePresent-haiek
jaiki,future,ni,YES,jaiki-future-ni
jaiki,future,zu,YES,jaiki-future-zu
jaiki,future,hura,YES,jaiki-future-hura
jaiki,future,gu,YES,jaiki-future-gu
jaiki,future,zuek,YES,jaiki-future-zuek
jaiki,future,haiek,YES,jaiki-future-haiek
jaiki,past,ni,YES,jaiki-past-ni
jaiki,past,zu,YES,jaiki-past-zu
jaiki,past,hura,YES,jaiki-past-hura
jaiki,past,gu,YES,jaiki-past-gu
jaiki,past,zuek,YES,jaiki-past-zuek
jaiki,past,haiek,YES,jaiki-past-haiek
jaiki,present,ni,YES,jaiki-present-ni
jaiki,present,zu,YES,jaiki-present-zu
jaiki,present,hura,YES,jaiki-present-hura
jaiki,present,gu,YES,jaiki-present-gu
jaiki,present,zuek,YES,jaiki-present-zuek
jaiki,present,haiek,YES,jaiki-present-haiek
jakin,future,ni,YES,jakin-future-ni
jakin,future,zu,YES,jakin-future-zu
jakin,future,hura,YES,jakin-future-hura
jakin,past,ni,YES,jakin-past-ni
jakin,past,hi,NO,jakin-past-hi
jakin,past,zu,YES,jakin-past-zu
jakin,past,hura,YES,jakin-past-hura
jakin,past,gu,YES,jakin-past-gu
jakin,past,zuek,YES,jakin-past-zuek
jakin,past,haiek,YES,jakin-past-haiek
jakin,pastPlural,ni,NO,jakin-pastPlural-ni
jakin,pastPlural,hi,NO,jakin-pastPlural-hi
jakin,pastPlural,zu,NO,jakin-pastPlural-zu
jakin,pastPlural,hura,NO,jakin-pastPlural-hura
jakin,pastPlural,gu,NO,jakin-pastPlural-gu
jakin,pastPlural,zuek,NO,jakin-pastPlural-zuek
jakin,pastPlural,haiek,NO,jakin-pastPlural-haiek
jakin,present,hi-m,YES,jakin-present-hi-m
jakin,present,hi-f,YES,jakin-present-hi-f
jakin,present,ni,YES,jakin-present-ni
jakin,present,zu,YES,jakin-present-zu
jakin,present,hura,YES,jakin-present-hura
jakin,presentPlural,hi-m,NO,jakin-presentPlural-hi-m
jakin,presentPlural,hi-f,NO,jakin-presentPlural-hi-f
jakin,presentPlural,ni,NO,jakin-presentPlural-ni
jakin,presentPlural,zu,NO,jakin-presentPlural-zu
jakin,presentPlural,hura,NO,jakin-presentPlural-hura
jan,future,ni,YES,jan-future-ni
jan,future,zu,YES,jan-future-zu
jan,future,hura,YES,jan-future-hura
jan,future,gu,YES,jan-future-gu
jan,future,zuek,YES,jan-future-zuek
jan,future,haiek,YES,jan-future-haiek
jan,futurePlural,ni,YES,jan-futurePlural-ni
jan,futurePlural,zu,YES,jan-futurePlural-zu
jan,futurePlural,hura,YES,jan-futurePlural-hura
jan,futurePlural,gu,YES,jan-futurePlural-gu
jan,futurePlural,zuek,YES,jan-futurePlural-zuek
jan,futurePlural,haiek,YES,jan-futurePlural-haiek
jan,past,ni,YES,jan-past-ni
jan,past,zu,YES,jan-past-zu
jan,past,hura,YES,jan-past-hura
jan,past,gu,YES,jan-past-gu
jan,past,zuek,YES,jan-past-zuek
jan,past,haiek,YES,jan-past-haiek
jan,pastPlural,ni,YES,jan-pastPlural-ni
jan,pastPlural,zu,YES,jan-pastPlural-zu
jan,pastPlural,hura,YES,jan-pastPlural-hura
jan,pastPlural,gu,YES,jan-pastPlural-gu
jan,pastPlural,zuek,YES,jan-pastPlural-zuek
jan,pastPlural,haiek,YES,jan-pastPlural-haiek
jan,present,ni,YES,jan-present-ni
jan,present,zu,YES,jan-present-zu
jan,present,hura,YES,jan-present-hura
jan,present,gu,YES,jan-present-gu
jan,present,zuek,YES,jan-present-zuek
jan,present,haiek,YES,jan-present-haiek
jan,presentPlural,ni,YES,jan-presentPlural-ni
jan,presentPlural,zu,YES,jan-presentPlural-zu
jan,presentPlural,hura,YES,jan-presentPlural-hura
jan,presentPlural,gu,YES,jan-presentPlural-gu
jan,presentPlural,zuek,YES,jan-presentPlural-zuek
jan,presentPlural,haiek,YES,jan-presentPlural-haiek
janarazi,future,ni,YES,janarazi-future-ni
janarazi,future,zu,YES,janarazi-future-zu
janarazi,future,hura,YES,janarazi-future-hura
janarazi,future,gu,YES,janarazi-future-gu
janarazi,future,zuek,YES,janarazi-future-zuek
janarazi,future,haiek,YES,janarazi-future-haiek
janarazi,past,ni,YES,janarazi-past-ni
janarazi,past,zu,YES,janarazi-past-zu
janarazi,past,hura,YES,janarazi-past-hura
janarazi,past,gu,YES,janarazi-past-gu
janarazi,past,zuek,YES,janarazi-past-zuek
janarazi,past,haiek,YES,janarazi-past-haiek
janarazi,present,ni,YES,janarazi-present-ni
janarazi,present,zu,YES,janarazi-present-zu
janarazi,present,hura,YES,janarazi-present-hura
janarazi,present,gu,YES,janarazi-present-gu
janarazi,present,zuek,YES,janarazi-present-zuek
janarazi,present,haiek,YES,janarazi-present-haiek
jario,past,ni,YES,jario-past-ni
jario,past,zu,YES,jario-past-zu
jario,past,hura,YES,jario-past-hura
jario,past,gu,YES,jario-past-gu
jario,past,zuek,YES,jario-past-zuek
jario,past,haiek,YES,jario-past-haiek
jario,present,ni,YES,jario-present-ni
jario,present,zu,YES,jario-present-zu
jario,present,hura,YES,jario-present-hura
jario,present,gu,YES,jario-present-gu
jario,present,zuek,YES,jario-present-zuek
jario,present,haiek,YES,jario-present-haiek
jarraitu,baldintzaByNor,ni,YES,jarraitu-baldintzaByNor-ni
jarraitu,baldintzaByNor,zu,YES,jarraitu-baldintzaByNor-zu
jarraitu,baldintzaByNor,hura,NO,jarraitu-baldintzaByNor-hura
jarraitu,baldintzaByNor,gu,YES,jarraitu-baldintzaByNor-gu
jarraitu,baldintzaByNor,zuek,YES,jarraitu-baldintzaByNor-zuek
jarraitu,baldintzaByNor,haiek,NO,jarraitu-baldintzaByNor-haiek
jarraitu,conditionalByNor,ni,YES,jarraitu-conditionalByNor-ni
